City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Eureka,US,40.8021,-124.1637,73.2,80,9,4.0,clear sky
259,Samarai,PG,-10.6167,150.6667,79.0,88,74,11.32,broken clouds
260,Kilindoni,TZ,-7.9139,39.6668,74.93,71,10,14.05,clear sky
261,Port Victoria,KE,0.0939,33.9756,73.45,63,63,5.28,broken clouds
262,Husavik,IS,66.0449,-17.3389,55.99,61,14,6.15,few clouds
263,Abong Mbang,CM,3.9833,13.1833,68.61,94,98,1.86,light rain
264,Thompson,CA,55.7435,-97.8558,57.36,100,100,10.36,mist
265,Eenhana,NA,-17.4667,16.3333,72.21,27,0,5.86,clear sky
266,Toro,CO,4.6117,-76.0814,79.88,68,81,1.68,broken clouds
267,Olafsvik,IS,64.8945,-23.7142,52.02,92,100,17.05,overcast clouds
268,Kaeo,NZ,-35.1,173.7833,49.73,91,47,2.1,scattered clouds
269,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,61,40,16.11,scattered clouds
270,Micheweni,TZ,-4.9667,39.8333,73.31,76,0,10.69,clear sky
271,Ust-Ilimsk,RU,58.0006,102.6619,49.71,98,88,5.77,overcast clouds
272,Qaqortoq,GL,60.7167,-46.0333,46.69,90,100,5.37,light rain
273,Alice Springs,AU,-23.7,133.8833,40.55,60,0,6.91,clear sky
274,Dese,ET,11.1333,39.6333,56.26,87,92,2.62,moderate rain
275,Bonthe,SL,7.5264,-12.505,79.09,77,74,11.68,broken clouds
276,Charkhi Dadri,IN,28.6,76.2667,86.02,71,75,6.33,broken clouds
277,Nikolskoye,RU,59.7035,30.7861,78.69,70,4,6.15,clear sky
278,Altus,US,34.6381,-99.334,103.51,25,0,8.05,haze
279,Sinnamary,GF,5.3833,-52.95,85.05,64,0,10.13,clear sky
280,Christchurch,NZ,-43.5333,172.6333,59.32,60,20,9.22,moderate rain
281,Iwanai,JP,42.9744,140.5089,58.69,94,100,7.54,overcast clouds
282,Stepnyak,KZ,52.8339,70.7803,63.0,53,50,4.83,scattered clouds
283,Kolondieba,ML,11.0882,-6.8926,77.27,84,98,2.57,light rain
284,Fakel,RU,57.6325,53.0252,66.52,68,72,2.04,broken clouds
285,Maceio,BR,-9.6658,-35.7353,83.64,57,40,9.22,scattered clouds
286,Oranjemund,NA,-28.55,16.4333,55.62,80,100,6.76,overcast clouds
287,Lakatoro,VU,-16.0999,167.4164,77.72,81,29,7.9,scattered clouds
288,Saryozek,KZ,44.3583,77.9753,72.37,37,70,5.48,broken clouds
289,Aykhal,RU,66.0,111.5,49.57,79,100,17.83,overcast clouds
290,Bambous Virieux,MU,-20.3428,57.7575,70.21,83,75,11.5,broken clouds
